Bid No,Custom Item,Matched Category,Category Bid No,Why It Could Belong,Score
GEM/2026/B/7675500,"PERSONAL LAPTOP , PERSONAL MOBILE","PERSONAL LAPTOP,PERSONAL MOBILE",GEM/2026/B/7743869,"Significant keyword overlap on procurement terms: laptop, mobile, personal. The item likely falls within the scope of this standard category.",100%
GEM/2026/B/7862135,PROFILE PROJECTOR,—,—,No standard category found on GeM — potential catalogue gap,—
GEM/2026/B/7862190,5510 DEEP SEA UNIT WITH RS485 & MOD BUS CONNECTION SUITABLE FOR SYNHRONIZATION,—,—,No standard category found on GeM — potential catalogue gap,—
GEM/2026/B/7861809,aer ventillation system 1.5 ton,Aer ventillation sysytem 1.5 ton,GEM/2026/B/7647348,"Names are nearly identical — both describe the same item (aer, ton, ventillation). Could have been placed under this standard category.",98.4 / 100
GEM/2026/B/7785481,Electronic Deadweight Tester (2000 bar),—,—,No standard category found on GeM — potential catalogue gap,—
GEM/2026/B/7785041,Tube Furnace for Thermocouple Calibration,Tube Furnace,GEM/2026/B/7869001,"Significant keyword overlap on procurement terms: furnace, tube. The item likely falls within the scope of this standard category.",65%
GEM/2026/B/7744163,"Supply, Installation, Testing, Commissioning and Integration of Local Area Network (LAN)","Supply, Installation, Testing, Commissioning and Integration of Local Area Network (LAN)",GEM/2026/B/7823954,"Names are nearly identical — both describe the same item (area, commissioning, installation, integration, lan). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7856501,"ballistic google , Tactical Knee and Elbow Pad (V2) , tactical glooves , three points sling",Tactical Knee and Elbow Pad (V2),GEM/2026/B/7823954,"Significant keyword overlap on procurement terms: elbow, knee, pad, tactical. The item likely falls within the scope of this standard category.",87%
GEM/2026/B/7800426,Vertical Pyrolyser Reactor with condensation assembly,"Wind Mill Trainer,Planetary Ball Mill,Vertical Pyrolyser Reactor with Condensation assembly",GEM/2026/B/7887662,"Significant keyword overlap on procurement terms: assembly, condensation, pyrolyser, reactor, vertical. The item likely falls within the scope of this standard category.",67%
GEM/2026/B/7866016,Steel Roofing Trough (SRT) . Steel Roofing Trough (SRT) of size 1630 x 615 x 180mm (total width 975,Steel Roofing Trough (SRT) . Steel Roofing Trough (SRT) of size 1630 x 615 x 180mm (total width 975,—,"Names are nearly identical — both describe the same item (1630, 180mm, 615, 975, roofing). Could have been placed under this standard category.",100.0 / 100
GEM/2026/B/7864162,"Delivery & Installation of Multifunction Printer (MFP) . (Monochrome A4, Print, Scan, Copy) with Thre , Delivery & Installation of Multifunction Printer (MFP) . (Color A4, Print, Scan, Copy) with Three (3) , Delivery & Installation of Multifunction Printer (MFP) . (Color A3, Print, Scan, Copy) with Three (3)","Delivery & Installation of Multifunction Printer (MFP) . (Monochrome A4, Print, Scan, Copy) with Th",GEM/2026/B/7864162,"Significant keyword overlap on procurement terms: copy, delivery, installation, mfp, monochrome. The item likely falls within the scope of this standard category.",86%
GEM/2026/B/7790180,DE-BUGGING DEVICE (SMART PHONE DETECTOR),DE-BUGGING DEVICE (SMART PHONE DETECTOR),GEM/2026/B/7790180,"Names are nearly identical — both describe the same item (bugging, detector, device, phone, smart). Could have been placed under this standard category.",100.0 / 100
